2 1 1 2 1 1 10 15 1 3 16 9 3 1 2 2 3 5 1 1 
3 2 3 4 2 2 15 18 2 4 18 12 4 2 4 3 4 15 3 11 
4 4 4 7 3 3 22 20 3 7 20 21 6 3 11 4 6 16 6 19 
6 7 6 9 4 9 24 22 4 9 22 33 7 4 12 7 7 17 7 23 
9 9 7 12 6 12 25 23 6 12 24 53 9 6 19 9 9 18 9 29 
12 12 9 16 9 16 38 29 12 19 30 56 11 9 23 12 12 24 10 32 
21 19 12 24 21 21 43 41 19 21 34 60 12 12 26 19 19 25 11 35 
31 21 19 31 31 32 47 44 21 31 45 69 31 19 41 21 21 43 21 44 
32 31 21 32 32 33 58 48 31 32 58 76 32 31 44 32 31 58 35 48 
49 32 31 35 35 35 64 58 32 35 64 92 35 32 48 35 32 62 49 49 
51 35 32 49 49 49 91 67 35 49 67 93 49 35 50 49 49 64 50 50 
92 51 35 51 51 92 92 90 49 51 84 94 51 51 90 51 51 92 80 80 
